GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,SEASON
0022401191,2025-04-13,1610612741,CHI,CHI @ PHI,W,2024-25
0022401186,2025-04-13,1610612753,ORL,ORL @ ATL,L,2024-25
0022401194,2025-04-13,1610612742,DAL,DAL @ MEM,L,2024-25
0022401189,2025-04-13,1610612739,CLE,CLE vs. IND,L,2024-25
0022401193,2025-04-13,1610612745,HOU,HOU vs. DEN,L,2024-25
0022401199,2025-04-13,1610612747,LAL,LAL @ POR,L,2024-25
0022401198,2025-04-13,1610612746,LAC,LAC @ GSW,W,2024-25
0022401187,2025-04-13,1610612766,CHA,CHA @ BOS,L,2024-25
0022401196,2025-04-13,1610612740,NOP,NOP vs. OKC,L,2024-25
0022401200,2025-04-13,1610612756,PHX,PHX @ SAC,L,2024-25
0022401188,2025-04-13,1610612751,BKN,BKN vs. NYK,L,2024-25
0022401192,2025-04-13,1610612765,DET,DET @ MIL,L,2024-25
0022401195,2025-04-13,1610612762,UTA,UTA @ MIN,L,2024-25
0022401197,2025-04-13,1610612761,TOR,TOR @ SAS,L,2024-25
0022401190,2025-04-13,1610612748,MIA,MIA vs. WAS,L,2024-25
0022401183,2025-04-11,1610612757,POR,POR vs. GSW,L,2024-25
0022401172,2025-04-11,1610612754,IND,IND vs. ORL,L,2024-25
0022401184,2025-04-11,1610612758,SAC,SAC vs. LAC,L,2024-25
0022401180,2025-04-11,1610612743,DEN,DEN vs. MEM,W,2024-25
0022401175,2025-04-11,1610612739,CLE,CLE @ NYK,W,2024-25
0022401174,2025-04-11,1610612766,CHA,CHA @ BOS,L,2024-25
0022401185,2025-04-11,1610612745,HOU,HOU @ LAL,L,2024-25
0022401173,2025-04-11,1610612737,ATL,ATL @ PHI,W,2024-25
0022401181,2025-04-11,1610612760,OKC,OKC @ UTA,W,2024-25
0022401177,2025-04-11,1610612748,MIA,MIA @ NOP,W,2024-25
0022401171,2025-04-11,1610612765,DET,DET vs. MIL,L,2024-25
0022401178,2025-04-11,1610612742,DAL,DAL vs. TOR,W,2024-25
0022401182,2025-04-11,1610612756,PHX,PHX vs. SAS,W,2024-25
0022401176,2025-04-11,1610612741,CHI,CHI vs. WAS,W,2024-25
0022401179,2025-04-11,1610612750,MIN,MIN vs. BKN,W,2024-25
0022401170,2025-04-10,1610612750,MIN,MIN @ MEM,W,2024-25
0022401167,2025-04-10,1610612765,DET,DET vs. NYK,W,2024-25
0022401169,2025-04-10,1610612737,ATL,ATL @ BKN,W,2024-25
0022401161,2025-04-10,1610612740,NOP,NOP @ MIL,L,2024-25
0022401168,2025-04-10,1610612754,IND,IND vs. CLE,W,2024-25
0022401165,2025-04-09,1610612743,DEN,DEN @ SAC,W,2024-25
0022401157,2025-04-09,1610612764,WAS,WAS vs. PHI,L,2024-25
0022401162,2025-04-09,1610612757,POR,POR @ UTA,L,2024-25
