GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,SEASON
0022101217,2022-04-10,1610612764,WAS,WAS @ CHA,L,2021-22
0022101222,2022-04-10,1610612760,OKC,OKC @ LAC,L,2021-22
0022101224,2022-04-10,1610612750,MIN,MIN vs. CHI,L,2021-22
0022101226,2022-04-10,1610612752,NYK,NYK vs. TOR,W,2021-22
0022101219,2022-04-10,1610612759,SAS,SAS @ DAL,L,2021-22
0022101218,2022-04-10,1610612749,MIL,MIL @ CLE,L,2021-22
0022101221,2022-04-10,1610612737,ATL,ATL @ HOU,W,2021-22
0022101230,2022-04-10,1610612757,POR,POR vs. UTA,L,2021-22
0022101223,2022-04-10,1610612763,MEM,MEM vs. BOS,L,2021-22
0022101220,2022-04-10,1610612743,DEN,DEN vs. LAL,L,2021-22
0022101225,2022-04-10,1610612744,GSW,GSW @ NOP,W,2021-22
0022101227,2022-04-10,1610612748,MIA,MIA @ ORL,L,2021-22
0022101216,2022-04-10,1610612751,BKN,BKN vs. IND,W,2021-22
0022101228,2022-04-10,1610612765,DET,DET @ PHI,L,2021-22
0022101229,2022-04-10,1610612758,SAC,SAC @ PHX,W,2021-22
0022101215,2022-04-09,1610612744,GSW,GSW @ SAS,W,2021-22
0022101213,2022-04-09,1610612740,NOP,NOP @ MEM,L,2021-22
0022101212,2022-04-09,1610612758,SAC,SAC @ LAC,L,2021-22
0022101214,2022-04-09,1610612754,IND,IND @ PHI,L,2021-22
0022101211,2022-04-08,1610612747,LAL,LAL vs. OKC,W,2021-22
0022101208,2022-04-08,1610612741,CHI,CHI vs. CHA,L,2021-22
0022101203,2022-04-08,1610612749,MIL,MIL @ DET,W,2021-22
0022101209,2022-04-08,1610612757,POR,POR @ DAL,L,2021-22
0022101206,2022-04-08,1610612761,TOR,TOR vs. HOU,W,2021-22
0022101205,2022-04-08,1610612751,BKN,BKN vs. CLE,W,2021-22
0022101207,2022-04-08,1610612748,MIA,MIA vs. ATL,W,2021-22
0022101210,2022-04-08,1610612756,PHX,PHX @ UTA,W,2021-22
0022101204,2022-04-08,1610612764,WAS,WAS vs. NYK,L,2021-22
0022101196,2022-04-07,1610612753,ORL,ORL @ CHA,L,2021-22
0022101201,2022-04-07,1610612763,MEM,MEM @ DEN,L,2021-22
0022101198,2022-04-07,1610612738,BOS,BOS @ MIL,L,2021-22
0022101202,2022-04-07,1610612744,GSW,GSW vs. LAL,W,2021-22
0022101199,2022-04-07,1610612759,SAS,SAS @ MIN,L,2021-22
