GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,SEASON
0022201230,2023-04-09,1610612744,GSW,GSW @ POR,W,2022-23
0022201219,2023-04-09,1610612748,MIA,MIA vs. ORL,W,2022-23
0022201222,2023-04-09,1610612764,WAS,WAS vs. HOU,L,2022-23
0022201221,2023-04-09,1610612749,MIL,MIL @ TOR,L,2022-23
0022201228,2023-04-09,1610612762,UTA,UTA @ LAL,L,2022-23
0022201229,2023-04-09,1610612746,LAC,LAC @ PHX,W,2022-23
0022201220,2023-04-09,1610612754,IND,IND @ NYK,W,2022-23
0022201216,2023-04-09,1610612737,ATL,ATL @ BOS,L,2022-23
0022201224,2023-04-09,1610612759,SAS,SAS @ DAL,W,2022-23
0022201227,2023-04-09,1610612743,DEN,DEN vs. SAC,W,2022-23
0022201218,2023-04-09,1610612766,CHA,CHA @ CLE,W,2022-23
0022201223,2023-04-09,1610612741,CHI,CHI vs. DET,W,2022-23
0022201226,2023-04-09,1610612763,MEM,MEM @ OKC,L,2022-23
0022201217,2023-04-09,1610612755,PHI,PHI @ BKN,W,2022-23
0022201225,2023-04-09,1610612750,MIN,MIN vs. NOP,W,2022-23
0022201213,2023-04-08,1610612762,UTA,UTA vs. DEN,W,2022-23
0022201215,2023-04-08,1610612757,POR,POR @ LAC,L,2022-23
0022201214,2023-04-08,1610612759,SAS,SAS vs. MIN,L,2022-23
0022201209,2023-04-07,1610612752,NYK,NYK @ NOP,L,2022-23
0022201202,2023-04-07,1610612766,CHA,CHA vs. HOU,L,2022-23
0022201212,2023-04-07,1610612756,PHX,PHX @ LAL,L,2022-23
0022201211,2023-04-07,1610612758,SAC,SAC vs. GSW,L,2022-23
0022201206,2023-04-07,1610612761,TOR,TOR @ BOS,L,2022-23
0022201204,2023-04-07,1610612764,WAS,WAS vs. MIA,W,2022-23
0022201207,2023-04-07,1610612753,ORL,ORL @ BKN,L,2022-23
0022201203,2023-04-07,1610612765,DET,DET @ IND,W,2022-23
0022201208,2023-04-07,1610612749,MIL,MIL vs. MEM,L,2022-23
0022201205,2023-04-07,1610612755,PHI,PHI @ ATL,W,2022-23
0022201210,2023-04-07,1610612742,DAL,DAL vs. CHI,L,2022-23
0022201198,2023-04-06,1610612755,PHI,PHI vs. MIA,L,2022-23
0022201199,2023-04-06,1610612757,POR,POR @ SAS,L,2022-23
0022201201,2023-04-06,1610612756,PHX,PHX vs. DEN,W,2022-23
0022201200,2023-04-06,1610612760,OKC,OKC @ UTA,W,2022-23
0022201197,2023-04-06,1610612753,ORL,ORL vs. CLE,L,2022-23
0022201189,2023-04-05,1610612765,DET,DET vs. BKN,L,2022-23
0022201195,2023-04-05,1610612758,SAC,SAC @ DAL,L,2022-23
0022201196,2023-04-05,1610612747,LAL,LAL @ LAC,L,2022-23
0022201193,2023-04-05,1610612749,MIL,MIL vs. CHI,W,2022-23
