gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022401192,1610612765,Detroit,Pistons,DET,pistons,265:00,610.1,122.0,642.2,128.4,-32.1,-6.4,0.686,2.69,21.5,0.322,0.816,0.515,11.927,11.9,0.579,0.588,1.0,0.977,19.74,98.72,82.26,109.0,0.473
0022401195,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,597.9,119.6,535.7,107.1,62.2,12.4,0.5,1.77,16.4,0.37,0.765,0.562,13.402,13.4,0.536,0.552,1.0,0.991,19.5,97.5,81.25,97.0,0.546
0022401195,1610612762,Utah,Jazz,UTA,jazz,240:00,535.7,107.1,597.9,119.6,-62.2,-12.4,0.6,1.71,17.9,0.235,0.63,0.438,14.286,14.3,0.539,0.559,1.0,0.964,19.5,97.5,81.25,98.0,0.454
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,240:00,595.2,119.0,572.8,114.6,22.4,4.5,0.512,1.83,16.2,0.238,0.745,0.526,11.429,11.4,0.577,0.637,1.0,0.974,20.8,104.0,86.67,105.0,0.565
0022401197,1610612761,Toronto,Raptors,TOR,raptors,240:00,572.8,114.6,595.2,119.0,-22.4,-4.5,0.696,2.46,21.5,0.255,0.762,0.474,12.621,12.6,0.546,0.567,1.0,1.0,20.8,104.0,86.67,103.0,0.435
0022401190,1610612748,Miami,Heat,MIA,heat,240:00,572.8,114.6,583.3,116.7,-10.5,-2.1,0.571,3.5,19.7,0.224,0.826,0.516,7.767,7.8,0.551,0.571,1.0,0.974,20.5,102.5,85.42,103.0,0.51
0022401190,1610612764,Washington,Wizards,WAS,wizards,240:00,583.3,116.7,572.8,114.6,10.5,2.1,0.717,3.0,23.1,0.174,0.776,0.484,10.784,10.8,0.6,0.61,1.0,0.982,20.5,102.5,85.42,102.0,0.49
0022401183,1610612757,Portland,Trail Blazers,POR,blazers,240:00,421.6,84.3,504.9,101.0,-83.3,-16.7,0.656,0.95,15.0,0.304,0.788,0.537,21.569,21.6,0.412,0.454,1.0,0.983,20.4,102.0,85.0,102.0,0.387
0022401183,1610612744,Golden State,Warriors,GSW,warriors,240:00,504.9,101.0,421.6,84.3,83.3,16.7,0.788,1.73,18.8,0.212,0.696,0.463,14.706,14.7,0.482,0.54,1.0,0.982,20.4,102.0,85.0,102.0,0.613
0022401172,1610612754,Indiana,Pacers,IND,pacers,240:00,542.5,108.5,614.3,122.9,-71.8,-14.4,0.6,1.2,15.9,0.404,0.718,0.538,18.868,18.9,0.517,0.551,1.0,0.953,21.1,105.5,87.92,106.0,0.409
