gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won
0022101155,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,581.0,116.2,542.9,108.6,38.1,7.6,0.652,2.73,19.2,0.35,0.805,0.535,10.476,10.5,0.485,0.534,1.0,0.992,21.0,105.0,87.5,105.0,0.529,W,1
0022101155,1610612756,Phoenix,Suns,PHX,suns,240:00,542.9,108.6,581.0,116.2,-38.1,-7.6,0.574,1.35,19.4,0.195,0.65,0.465,19.048,19.0,0.605,0.61,1.0,0.964,21.0,105.0,87.5,105.0,0.471,L,0
0022101151,1610612753,Orlando,Magic,ORL,magic,240:00,463.5,92.7,531.3,106.3,-67.7,-13.5,0.706,1.09,18.3,0.244,0.784,0.531,22.917,22.9,0.5,0.531,1.0,0.972,19.2,96.0,80.0,96.0,0.452,L,0
0022101151,1610612761,Toronto,Raptors,TOR,raptors,240:00,531.3,106.3,463.5,92.7,67.7,13.5,0.583,2.1,16.5,0.216,0.756,0.469,10.417,10.4,0.494,0.538,1.0,0.991,19.2,96.0,80.0,96.0,0.548,W,1
0022101159,1610612743,Denver,Nuggets,DEN,nuggets,240:00,625.0,125.0,647.6,129.5,-22.6,-4.5,0.783,2.0,23.5,0.31,0.761,0.545,17.308,17.3,0.605,0.658,1.0,0.991,20.9,104.5,87.08,104.0,0.502,L,0
0022101159,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,647.6,129.5,625.0,125.0,22.6,4.5,0.605,2.17,18.3,0.239,0.69,0.455,11.429,11.4,0.61,0.668,1.0,0.966,20.9,104.5,87.08,105.0,0.498,W,1
0022101154,1610612745,Houston,Rockets,HOU,rockets,240:00,573.5,114.7,604.0,120.8,-30.4,-6.1,0.634,2.36,17.6,0.328,0.791,0.519,10.784,10.8,0.51,0.539,1.0,0.967,20.3,101.5,84.58,102.0,0.424,L,0
0022101154,1610612758,Sacramento,Kings,SAC,kings,240:00,604.0,120.8,573.5,114.7,30.4,6.1,0.69,2.23,20.9,0.209,0.672,0.481,12.871,12.9,0.593,0.636,1.0,0.991,20.3,101.5,84.58,101.0,0.576,W,1
0022101160,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,528.6,105.7,558.8,111.8,-30.3,-6.1,0.615,1.41,17.1,0.234,0.875,0.529,16.19,16.2,0.543,0.58,1.0,0.94,20.7,103.5,86.25,105.0,0.461,L,0
0022101160,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,558.8,111.8,528.6,105.7,30.3,6.1,0.561,1.53,17.7,0.125,0.766,0.471,14.706,14.7,0.563,0.621,1.0,0.981,20.7,103.5,86.25,102.0,0.539,W,1
0022101156,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,595.0,119.0,772.7,154.5,-177.7,-35.5,0.6,2.0,20.4,0.367,0.65,0.494,15.0,15.0,0.574,0.584,1.0,0.991,19.9,99.5,82.92,100.0,0.39,L,0
0022101156,1610612746,LA,Clippers,LAC,clippers,240:00,772.7,154.5,595.0,119.0,177.7,35.5,0.607,3.4,23.1,0.35,0.633,0.506,10.101,10.1,0.734,0.746,1.0,0.982,19.9,99.5,82.92,99.0,0.61,W,1
0022101150,1610612762,Utah,Jazz,UTA,jazz,240:00,635.4,127.1,573.7,114.7,61.7,12.3,0.543,3.13,18.4,0.327,0.75,0.527,8.333,8.3,0.594,0.607,1.0,0.982,19.1,95.5,79.58,96.0,0.559,W,1
