gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022201230,1610612757,Portland,Trail Blazers,POR,blazers,240:00,450.9,90.2,707.2,141.4,-256.3,-51.3,0.658,1.79,17.0,0.18,0.763,0.404,12.5,12.5,0.447,0.478,1.0,0.984,22.3,111.5,92.92,112.0,0.264
0022201230,1610612744,Golden State,Warriors,GSW,warriors,240:00,707.2,141.4,450.9,90.2,256.3,51.3,0.81,2.94,28.1,0.237,0.82,0.596,14.414,14.4,0.745,0.762,1.0,0.983,22.3,111.5,92.92,111.0,0.736
0022201219,1610612748,Miami,Heat,MIA,heat,240:00,608.9,121.8,550.0,110.0,58.9,11.8,0.667,1.67,21.4,0.244,0.732,0.526,17.822,17.8,0.651,0.67,1.0,0.982,20.1,100.5,83.75,101.0,0.556
0022201219,1610612753,Orlando,Magic,ORL,magic,240:00,550.0,110.0,608.9,121.8,-58.9,-11.8,0.763,2.07,20.1,0.268,0.756,0.474,14.0,14.0,0.517,0.547,1.0,0.991,20.1,100.5,83.75,100.0,0.444
0022201222,1610612764,Washington,Wizards,WAS,wizards,240:00,519.0,103.8,537.7,107.5,-18.7,-3.7,0.683,2.15,18.8,0.276,0.75,0.5,12.381,12.4,0.495,0.513,1.0,0.983,21.1,105.5,87.92,105.0,0.468
0022201222,1610612745,Houston,Rockets,HOU,rockets,240:00,537.7,107.5,519.0,103.8,18.7,3.7,0.545,1.6,16.8,0.25,0.724,0.5,14.151,14.2,0.522,0.557,1.0,0.992,21.1,105.5,87.92,106.0,0.532
0022201221,1610612761,Toronto,Raptors,TOR,raptors,240:00,599.0,119.8,519.8,104.0,79.2,15.8,0.604,3.22,20.6,0.234,0.848,0.538,8.911,8.9,0.563,0.593,1.0,0.982,20.2,101.0,84.17,101.0,0.556
0022201221,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,519.8,104.0,599.0,119.8,-79.2,-15.8,0.737,2.0,20.6,0.152,0.766,0.462,13.861,13.9,0.537,0.575,1.0,0.981,20.2,101.0,84.17,101.0,0.444
0022201228,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,609.5,121.9,551.9,110.4,57.6,11.5,0.596,2.55,19.2,0.25,0.804,0.524,10.476,10.5,0.577,0.602,1.0,0.983,21.1,105.5,87.92,105.0,0.53
0022201228,1610612762,Utah,Jazz,UTA,jazz,240:00,551.9,110.4,609.5,121.9,-57.6,-11.5,0.608,2.82,21.1,0.196,0.75,0.476,10.377,10.4,0.554,0.564,1.0,0.974,21.1,105.5,87.92,106.0,0.47
0022201229,1610612756,Phoenix,Suns,PHX,suns,240:00,553.4,110.7,583.3,116.7,-29.9,-6.0,0.69,4.14,19.6,0.271,0.679,0.47,6.796,6.8,0.495,0.524,1.0,0.975,20.5,102.5,85.42,103.0,0.483
0022201229,1610612746,LA,Clippers,LAC,clippers,240:00,583.3,116.7,553.4,110.7,29.9,6.0,0.449,2.2,15.5,0.321,0.729,0.53,9.804,9.8,0.515,0.538,1.0,0.992,20.5,102.5,85.42,102.0,0.517
0022201220,1610612752,New York,Knicks,NYK,knicks,240:00,612.6,122.5,635.1,127.0,-22.5,-4.5,0.558,1.93,17.9,0.367,0.804,0.557,13.514,13.5,0.551,0.578,1.0,0.985,22.2,111.0,92.5,111.0,0.469
